dataset,single_nmse_db,mixed_nmse_db,mixed_minus_single_db
user_center,2.1241568913211206,-1.2283558050739591,-3.3525126963950798
user_edge,2.1159725609462017,-1.2481222442375302,-3.364094805183732
user_uniform,2.120626972865497,-1.2352122436137014,-3.3558392164791986
user_left_cluster,2.1022910485780533,-1.2435986362911202,-3.3458896848691735
user_right_cluster,2.0973502277353067,-1.2487751198033403,-3.346125347538647
user_ring,2.106925398702885,-1.2451248315795769,-3.3520502302824617
