dataset,nmse_db,correlation,sec_per_sample,num_samples
user_center,-1.2283558050739591,nan,0.002787033716837565,600
user_edge,-1.2481222442375302,nan,0.00019048372904459637,600
user_uniform,-1.2352122436137014,nan,0.00019479791323343912,600
user_left_cluster,-1.2435986362911202,nan,0.00020349860191345214,600
user_right_cluster,-1.2487751198033405,nan,0.0001981202761332194,600
user_ring,-1.2451248315795769,nan,0.0002131493886311849,600
